0.038,0.094,0.421,0.111,0.336
0.234,0.018,0.192,0.163,0.393
0.039,0.229,0.004,0.681,0.047
0.134,0.126,0.017,0.379,0.344
0.348,0.089,0.099,0.395,0.069
0.263,0.14,0.089,0.017,0.491
0.184,0.334,0.046,0.232,0.204
0.159,0.034,0.019,0.193,0.595
0.074,0.052,0.097,0.559,0.218
0.267,0.536,0.04,0.106,0.051
0.455,0.022,0.249,0.111,0.163
0.314,0.274,0.088,0.036,0.288
0.176,0.109,0.289,0.23,0.196
0.412,0.177,0.298,0.013,0.1
0.012,0.288,0.171,0.108,0.421
0.181,0.528,0.118,0.027,0.146
0.046,0.097,0.178,0.268,0.411
0.145,0.029,0.26,0.416,0.15
0.03,0.029,0.356,0.013,0.572
0.112,0.093,0.364,0.25,0.181
0.284,0.531,0.023,0.148,0.014
0.281,0.062,0.038,0.149,0.47
0.472,0.341,0.112,0.02,0.055
0.149,0.032,0.267,0.22,0.332
0.148,0.105,0.101,0.52,0.126
0.058,0.349,0.145,0.119,0.329
0.06,0.192,0.377,0.242,0.129
0.005,0.233,0.325,0.271,0.166
0.028,0.483,0.199,0.271,0.019
0.415,0.003,0.281,0.297,0.004
0.12,0.446,0.354,0.004,0.076
0.872,0.03,0.007,0.086,0.005
0.174,0.448,0.188,0.04,0.15
0.214,0.235,0.255,0.249,0.047
0.312,0.11,0.192,0.172,0.214
0.132,0.059,0.012,0.364,0.433
0.129,0.094,0.018,0.723,0.036
0.568,0.006,0.039,0.326,0.061
0.334,0.032,0.02,0.352,0.262
0.08,0.331,0.153,0.224,0.212
0.277,0.358,0.036,0.054,0.275
0.055,0.348,0.455,0.02,0.122
0.073,0.005,0.139,0.72,0.063
0.125,0.396,0.152,0.145,0.182
0.038,0.241,0.016,0.282,0.423
0.018,0.568,0.225,0.173,0.016
0.067,0.247,0.109,0.394,0.183
0.039,0.164,0.318,0.135,0.344
0.148,0.265,0.366,0.052,0.169
0.167,0.044,0.27,0.259,0.26
0.218,0.43,0.218,0.03,0.104
0.36,0.481,0.022,0.026,0.111
0.049,0.124,0.536,0.261,0.03
0.189,0.02,0.234,0.085,0.472
0.191,0.25,0.386,0.053,0.12
0.057,0.178,0.331,0.282,0.152
0.127,0.552,0.03,0.221,0.07
0.403,0.087,0.28,0.207,0.023
0.286,0.136,0.172,0.202,0.204
0.006,0.211,0.193,0.429,0.161
0.057,0.241,0.039,0.167,0.496
0.085,0.124,0.449,0.095,0.247
0.14,0.374,0.227,0.237,0.022
0.046,0.5,0.063,0.082,0.309
0.081,0.033,0.316,0.36,0.21
0.023,0.063,0.272,0.498,0.144
0.346,0.216,0.023,0.371,0.044
0.482,0.157,0.003,0.117,0.241
0.293,0.014,0.116,0.451,0.126
0.023,0.091,0.495,0.268,0.123
0.66,0.013,0.16,0.144,0.023
0.238,0.071,0.109,0.058,0.524
0.299,0.013,0.038,0.155,0.495
0.07,0.246,0.184,0.301,0.199
0.004,0.205,0.513,0.034,0.244
0.032,0.169,0.257,0.211,0.331
0.136,0.095,0.114,0.062,0.593
0.084,0.011,0.082,0.196,0.627
0.461,0.022,0.104,0.131,0.282
0.214,0.217,0.361,0.164,0.044
0.016,0.03,0.302,0.359,0.293
0.093,0.099,0.227,0.425,0.156
0.327,0.366,0.024,0.176,0.107
0.068,0.055,0.064,0.64,0.173
0.062,0.003,0.155,0.099,0.681
0.208,0.015,0.4,0.217,0.16
0.047,0.256,0.283,0.247,0.167
0.149,0.369,0.001,0.244,0.237
0.046,0.203,0.329,0.032,0.39
0.013,0.424,0.18,0.17,0.213
0.394,0.122,0.124,0.191,0.169
0.054,0.243,0.28,0.049,0.374
0.129,0.68,0.127,0.055,0.009
0.133,0.328,0.077,0.122,0.34
0.527,0.035,0.204,0.057,0.177
0.636,0.219,0.06,0.055,0.03
0.312,0.044,0.182,0.079,0.383
0.082,0.025,0.036,0.559,0.298
0.079,0.115,0.401,0.281,0.124
0.586,0.127,0.039,0.215,0.033
