0.119,0.456,0.102,0.323
0.496,0.158,0.343,0.003
0.001,0.331,0.436,0.232
0.542,0.067,0.098,0.293
0.127,0.746,0.028,0.099
0.059,0.485,0.119,0.337
0.778,0.163,0.04,0.019
0.283,0.267,0.418,0.032
0.078,0.125,0.36,0.437
0.055,0.011,0.747,0.187
0.103,0.349,0.08,0.468
0.114,0.091,0.134,0.661
0.052,0.336,0.497,0.115
0.105,0.56,0.166,0.169
0.068,0.778,0.017,0.137
0.167,0.383,0.273,0.177
0.029,0.296,0.099,0.576
0.3,0.51,0.084,0.106
0.292,0.088,0.293,0.327
0.094,0.215,0.194,0.497
0.396,0.058,0.064,0.482
0.012,0.249,0.521,0.218
0.018,0.61,0.125,0.247
0.316,0.529,0.152,0.003
0.393,0.041,0.032,0.534
0.048,0.643,0.265,0.044
0.022,0.569,0.112,0.297
0.069,0.499,0.31,0.122
0.064,0.734,0.137,0.065
0.118,0.211,0.449,0.222
0.294,0.156,0.168,0.382
0.105,0.39,0.014,0.491
0.278,0.2,0.436,0.086
0.479,0.158,0.218,0.145
0.018,0.268,0.674,0.04
0.034,0.335,0.323,0.308
0.108,0.176,0.631,0.085
0.683,0.018,0.15,0.149
0.288,0.264,0.038,0.41
0.281,0.256,0.065,0.398
0.223,0.601,0.15,0.026
0.253,0.185,0.038,0.524
0.147,0.01,0.507,0.336
0.102,0.431,0.193,0.274
0.074,0.042,0.304,0.58
0.135,0.104,0.345,0.416
0.143,0.345,0.135,0.377
0.485,0.19,0.184,0.141
0.027,0.085,0.51,0.378
0.313,0.037,0.391,0.259
0.26,0.381,0.08,0.279
0.093,0.281,0.514,0.112
0.378,0.224,0.198,0.2
0.149,0.096,0.579,0.176
0.235,0.049,0.288,0.428
0.159,0.402,0.095,0.344
0.455,0.178,0.132,0.235
0.244,0.296,0.329,0.131
0.466,0.187,0.224,0.123
0.004,0.305,0.19,0.501
0.192,0.269,0.45,0.089
0.095,0.654,0.249,0.002
0.374,0.006,0.21,0.41
0.491,0.109,0.242,0.158
0.167,0.28,0.248,0.305
0.003,0.017,0.778,0.202
0.527,0.083,0.032,0.358
0.257,0.336,0.377,0.03
0.491,0.154,0.338,0.017
0.186,0.386,0.076,0.352
0.023,0.236,0.175,0.566
0.618,0.031,0.099,0.252
0.356,0.161,0.155,0.328
0.097,0.248,0.168,0.487
0.339,0.066,0.253,0.342
0.155,0.618,0.099,0.128
0.001,0.81,0.08,0.109
0.12,0.36,0.215,0.305
0.017,0.465,0.005,0.513
0.119,0.271,0.496,0.114
0.338,0.284,0.168,0.21
0.261,0.231,0.314,0.194
0.321,0.012,0.023,0.644
0.236,0.406,0.139,0.219
0.039,0.574,0.114,0.273
0.122,0.083,0.555,0.24
0.306,0.12,0.292,0.282
0.072,0.111,0.544,0.273
0.376,0.468,0.067,0.089
0.462,0.322,0.037,0.179
0.008,0.83,0.04,0.122
0.123,0.333,0.262,0.282
0.11,0.61,0.245,0.035
0.369,0.231,0.112,0.288
0.252,0.18,0.525,0.043
0.226,0.033,0.36,0.381
0.617,0.104,0.09,0.189
0.511,0.04,0.394,0.055
0.044,0.398,0.551,0.007
0.287,0.04,0.032,0.641
